Age,Gender,Education Level,Job Title,Years of Experience,Description,Salary
33,Male,Master's Degree,Sales Manager,11,Sales Manager with 11 years of experience and a degree in Master's Degree.,93360
33,Male,Bachelor's Degree,Product Manager,11,Product Manager with 11 years of experience and a degree in Bachelor's Degree.,121657
40,Male,Associate's Degree,HR Manager,18,HR Manager with 18 years of experience and a degree in Associate's Degree.,101954
53,Male,Bachelor's Degree,Product Manager,31,Product Manager with 31 years of experience and a degree in Bachelor's Degree.,159962
33,Female,Master's Degree,Data Scientist,11,Data Scientist with 11 years of experience and a degree in Master's Degree.,110481
37,Male,Master's Degree,Marketing Specialist,15,Marketing Specialist with 15 years of experience and a degree in Master's Degree.,95986
52,Female,Master's Degree,HR Manager,30,HR Manager with 30 years of experience and a degree in Master's Degree.,134372
56,Female,High School,Marketing Specialist,34,Marketing Specialist with 34 years of experience and a degree in High School.,129385
63,Male,High School,Software Engineer,41,Software Engineer with 41 years of experience and a degree in High School.,156010
50,Male,High School,Data Scientist,28,Data Scientist with 28 years of experience and a degree in High School.,136713
43,Female,PhD,Mechanical Engineer,21,Mechanical Engineer with 21 years of experience and a degree in PhD.,117268
25,Male,Associate's Degree,Product Manager,3,Product Manager with 3 years of experience and a degree in Associate's Degree.,97633
26,Male,PhD,Data Scientist,4,Data Scientist with 4 years of experience and a degree in PhD.,83824
52,Female,PhD,Product Manager,30,Product Manager with 30 years of experience and a degree in PhD.,158210
25,Female,Bachelor's Degree,Data Scientist,3,Data Scientist with 3 years of experience and a degree in Bachelor's Degree.,91210
26,Female,High School,Data Scientist,4,Data Scientist with 4 years of experience and a degree in High School.,96161
35,Female,Associate's Degree,Software Engineer,13,Software Engineer with 13 years of experience and a degree in Associate's Degree.,93267
59,Female,Bachelor's Degree,Software Engineer,37,Software Engineer with 37 years of experience and a degree in Bachelor's Degree.,150498
47,Male,High School,HR Manager,25,HR Manager with 25 years of experience and a degree in High School.,116843
43,Male,High School,Financial Analyst,21,Financial Analyst with 21 years of experience and a degree in High School.,119457
62,Male,Associate's Degree,Data Scientist,40,Data Scientist with 40 years of experience and a degree in Associate's Degree.,155664
29,Female,Bachelor's Degree,Electrical Engineer,7,Electrical Engineer with 7 years of experience and a degree in Bachelor's Degree.,89705
50,Female,Bachelor's Degree,Product Manager,28,Product Manager with 28 years of experience and a degree in Bachelor's Degree.,145673
30,Female,PhD,Electrical Engineer,8,Electrical Engineer with 8 years of experience and a degree in PhD.,93919
59,Male,Associate's Degree,Software Engineer,37,Software Engineer with 37 years of experience and a degree in Associate's Degree.,142106
50,Female,Master's Degree,Financial Analyst,28,Financial Analyst with 28 years of experience and a degree in Master's Degree.,131458
22,Female,High School,Data Scientist,0,Data Scientist with 0 years of experience and a degree in High School.,83778
58,Female,High School,Product Manager,36,Product Manager with 36 years of experience and a degree in High School.,160171
53,Female,Master's Degree,Electrical Engineer,31,Electrical Engineer with 31 years of experience and a degree in Master's Degree.,141965
54,Female,PhD,HR Manager,32,HR Manager with 32 years of experience and a degree in PhD.,126292
27,Male,Associate's Degree,Mechanical Engineer,5,Mechanical Engineer with 5 years of experience and a degree in Associate's Degree.,79625
40,Female,Bachelor's Degree,Data Scientist,18,Data Scientist with 18 years of experience and a degree in Bachelor's Degree.,124511
31,Male,Associate's Degree,HR Manager,9,HR Manager with 9 years of experience and a degree in Associate's Degree.,87292
60,Male,PhD,HR Manager,38,HR Manager with 38 years of experience and a degree in PhD.,139221
31,Male,Master's Degree,Sales Manager,9,Sales Manager with 9 years of experience and a degree in Master's Degree.,92296
34,Male,Master's Degree,HR Manager,12,HR Manager with 12 years of experience and a degree in Master's Degree.,95965
46,Male,Master's Degree,Graphic Designer,24,Graphic Designer with 24 years of experience and a degree in Master's Degree.,101016
47,Female,Bachelor's Degree,Data Scientist,25,Data Scientist with 25 years of experience and a degree in Bachelor's Degree.,131677
51,Male,PhD,Graphic Designer,29,Graphic Designer with 29 years of experience and a degree in PhD.,116001
39,Female,PhD,Product Manager,17,Product Manager with 17 years of experience and a degree in PhD.,125564
22,Male,Associate's Degree,Product Manager,0,Product Manager with 0 years of experience and a degree in Associate's Degree.,88997
29,Male,Bachelor's Degree,HR Manager,7,HR Manager with 7 years of experience and a degree in Bachelor's Degree.,82805
61,Female,High School,Electrical Engineer,39,Electrical Engineer with 39 years of experience and a degree in High School.,159035
65,Male,Associate's Degree,Software Engineer,43,Software Engineer with 43 years of experience and a degree in Associate's Degree.,160796
27,Female,PhD,Graphic Designer,5,Graphic Designer with 5 years of experience and a degree in PhD.,69454
61,Female,High School,Sales Manager,39,Sales Manager with 39 years of experience and a degree in High School.,151571
61,Male,PhD,Financial Analyst,39,Financial Analyst with 39 years of experience and a degree in PhD.,147293
58,Female,PhD,Software Engineer,36,Software Engineer with 36 years of experience and a degree in PhD.,141376
